customerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,DailyCharges
0002-orfbo,No,female,0,1,1,9,1,no,dsl,no,yes,no,yes,yes,no,one year,1,mailed check,65.6,593.3,2.1866666666666665
0003-mknfe,No,male,0,0,0,9,1,yes,dsl,no,no,no,no,no,yes,month-to-month,0,mailed check,59.9,542.4,1.9966666666666666
0004-tlhlj,Yes,male,0,0,0,4,1,no,fiber optic,no,no,yes,no,no,no,month-to-month,1,electronic check,73.9,280.85,2.4633333333333334
0011-igkff,Yes,male,1,1,0,13,1,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,electronic check,98.0,1237.85,3.2666666666666666
0013-exchz,Yes,female,1,1,0,3,1,no,fiber optic,no,no,no,yes,yes,no,month-to-month,1,mailed check,83.9,267.4,2.796666666666667
0013-mhzwf,No,female,0,0,1,9,1,no,dsl,no,no,no,yes,yes,yes,month-to-month,1,credit card (automatic),69.4,571.45,2.3133333333333335
0013-smeoe,No,female,1,1,0,71,1,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),109.7,7904.25,3.6566666666666667
0014-bmaqu,No,male,0,1,0,63,1,yes,fiber optic,yes,no,no,yes,no,no,two year,1,credit card (automatic),84.65,5377.8,2.8216666666666668
0015-uocoj,No,female,1,0,0,7,1,no,dsl,yes,no,no,no,no,no,month-to-month,1,electronic check,48.2,340.35,1.6066666666666667
0016-qljis,No,female,0,1,1,65,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,1,mailed check,90.45,5957.9,3.015
0017-dinoc,No,male,0,0,0,54,0,no,dsl,yes,no,no,yes,yes,no,two year,0,credit card (automatic),45.2,2460.55,1.5066666666666668
0017-iudmw,No,female,0,1,1,72,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,credit card (automatic),116.8,8456.75,3.893333333333333
0018-nyrou,No,female,0,1,0,5,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,68.95,351.5,2.2983333333333333
0019-efaep,No,female,0,0,0,72,1,yes,fiber optic,yes,yes,yes,no,yes,no,two year,1,bank transfer (automatic),101.3,7261.25,3.3766666666666665
0019-gfntw,No,female,0,0,0,56,0,no,dsl,yes,yes,yes,yes,no,no,two year,0,bank transfer (automatic),45.05,2560.1,1.5016666666666665
0020-inwck,No,female,0,1,1,71,1,yes,fiber optic,no,yes,yes,no,no,yes,two year,1,credit card (automatic),95.75,6849.4,3.191666666666667
0020-jdnxp,No,female,0,1,1,34,0,no,dsl,yes,no,yes,yes,yes,yes,one year,0,mailed check,61.25,1993.2,2.0416666666666665
0021-ikxgc,No,female,1,0,0,1,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,72.1,72.1,2.4033333333333333
0022-tcjci,Yes,male,1,0,0,45,1,no,dsl,yes,no,yes,no,no,yes,one year,0,credit card (automatic),62.7,2791.5,2.0900000000000003
0023-hghwl,Yes,male,1,0,0,1,0,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,25.1,25.1,0.8366666666666667
0023-uyupn,No,female,1,1,0,50,1,yes,no,no,no,no,no,no,no,one year,0,electronic check,25.2,1306.3,0.84
0023-xuopt,Yes,female,0,1,0,13,1,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,0,electronic check,94.1,1215.6,3.1366666666666663
0027-kwykw,No,female,0,1,1,23,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,83.75,1849.95,2.7916666666666665
0030-fnxpp,No,female,0,0,0,3,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.85,57.2,0.6616666666666667
0031-pvlzi,Yes,female,0,1,1,4,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.35,76.35,0.6783333333333333
0032-pgels,Yes,female,0,1,1,1,0,no,dsl,yes,no,no,no,no,no,month-to-month,0,bank transfer (automatic),30.5,30.5,1.0166666666666666
0036-ihmot,No,female,0,1,1,55,1,no,fiber optic,no,yes,yes,yes,yes,yes,one year,1,bank transfer (automatic),103.7,5656.75,3.4566666666666666
